path,cwnd,free,timestamp
10.1.1.2:4242,14600,0,1621714803393176194
10.1.1.2:4242,14600,0,1621714803393249100
10.1.1.2:4242,16060,1210,1621714803393329133
10.1.1.2:4242,16060,0,1621714803393387993
10.1.1.2:4242,16060,0,1621714803393469793
10.1.1.2:4242,16060,0,1621714803393555386
10.1.1.2:4242,16060,0,1621714803393752084
10.1.1.2:4242,26280,630,1621714803398670951
10.1.1.2:4242,26280,0,1621714803398732771
10.1.1.2:4242,27740,740,1621714803398864869
10.1.1.2:4242,27740,0,1621714803398937031
10.1.1.2:4242,29200,850,1621714803399434258
10.1.1.2:4242,29200,0,1621714803399503202
10.1.1.2:4242,30660,960,1621714803399581875
10.1.1.2:4242,30660,0,1621714803399650878
10.1.1.2:4242,32120,1070,1621714803399735978
10.1.1.2:4242,32120,0,1621714803399798378
10.1.1.2:4242,33580,1180,1621714803399886516
10.1.1.2:4242,33580,0,1621714803399951047
10.1.1.2:4242,35040,1290,1621714803400027315
10.1.1.2:4242,35040,0,1621714803400089075
10.1.1.2:4242,36500,1400,1621714803400164796
10.1.1.2:4242,36500,50,1621714803400225418
10.1.1.2:4242,36500,0,1621714803400280930
10.1.1.2:4242,37960,160,1621714803400369542
10.1.1.2:4242,37960,0,1621714803400443812
10.1.1.2:4242,39420,270,1621714803400528045
10.1.1.2:4242,39420,0,1621714803400592881
10.1.1.2:4242,40880,380,1621714803400733154
10.1.1.2:4242,40880,0,1621714803400796012
10.1.1.2:4242,42340,490,1621714803400887396
10.1.1.2:4242,42340,0,1621714803400960207
10.1.1.2:4242,43800,600,1621714803401056145
10.1.1.2:4242,43800,0,1621714803401127346
10.1.1.2:4242,45260,710,1621714803401206741
10.1.1.2:4242,45260,0,1621714803401269077
10.1.1.2:4242,46720,820,1621714803401351505
10.1.1.2:4242,46720,0,1621714803401416284
10.1.1.2:4242,48180,930,1621714803401508459
